,Equity (SPY),Long Treasuries (TLT),Short Treasuries (SHY),Gold (GLD),Oil (DBO)
2018-06-27,0.047277577,-0.024417816,-0.00014295772,-0.034838405,-0.011437981
2018-06-28,0.04585189,-0.01970198,-2.2616476e-05,-0.028311087,-0.015516864
2018-06-29,0.048073962,-0.015670884,0.0004578484,-0.037088975,-0.020268284
2018-07-02,0.049234863,-0.020098852,0.00021756004,-0.024737334,0.01061665
2018-07-03,0.052352276,-0.024430864,-2.294111e-05,-0.03202875,-0.0108108865
2018-07-05,0.04285996,-0.01891254,0.00069953554,-0.036874916,-0.029705046
2018-07-06,0.027714683,-0.014940132,0.0014195307,-0.03571348,-0.020433953
2018-07-09,0.015000437,-0.010556858,0.0017807579,-0.05334945,-0.03340429
2018-07-10,0.017768556,-0.012720161,0.0019012626,-0.050527994,-0.0382628
2018-07-11,0.0176143,-0.010757219,0.0020207006,-0.056388635,-0.019467503
2018-07-12,0.016648266,-0.010758338,0.0019004807,-0.061355006,-0.028429853
2018-07-13,0.019375214,-0.012047113,0.0020209989,-0.047715183,-0.03161655
2018-07-16,0.022407763,-0.0012094092,0.0028607564,-0.042223092,0.009318172
2018-07-17,0.020712925,-0.0026979772,0.0027415878,-0.028436301,0.007591742
2018-07-18,0.018018162,0.005273892,0.0031017512,-0.0264847,0.031381536
2018-07-19,0.020467905,0.00051392475,0.0025009708,-0.03166793,0.0338735
2018-07-20,0.027611589,0.014823151,0.002620577,-0.020805135,0.035292864
2018-07-23,0.03361861,0.021497311,0.002860813,-0.012229683,0.034205407
2018-07-24,0.029082127,0.012044538,0.002382171,-0.020547481,0.026060093
2018-07-25,0.025961718,0.014956119,0.00262159,-0.021483878,0.02810302
2018-07-26,0.024267035,0.01902886,0.0033416883,-0.018569883,0.026369758
2018-07-27,0.031101411,0.015041825,0.0034616357,-0.020232657,0.032157093
2018-07-30,0.034614675,0.0126811825,0.003233341,-0.02380024,0.01682073
