,Equity (SPY),Long Treasuries (TLT),Short Treasuries (SHY),Gold (GLD),Oil (DBO)
2018-06-27,0.047277343,-0.024418047,-0.00014209199,-0.034838405,-0.011438073
2018-06-28,0.04585183,-0.019702373,-2.2183634e-05,-0.028311087,-0.015516862
2018-06-29,0.04807396,-0.015671352,0.00045763177,-0.037088975,-0.0202681
2018-07-02,0.049235053,-0.020099167,0.00021745174,-0.024737334,0.010616649
2018-07-03,0.05235228,-0.024431264,-2.2616481e-05,-0.03202875,-0.010810981
2018-07-05,0.04286045,-0.018912543,0.00069953565,-0.036874916,-0.029705139
2018-07-06,0.027714929,-0.01493998,0.0014202872,-0.03571348,-0.02043386
2018-07-09,0.0150003135,-0.010557559,0.0017809739,-0.05334945,-0.03340429
2018-07-10,0.01776874,-0.012720778,0.0019010454,-0.050527994,-0.0382628
2018-07-11,0.017614055,-0.010757375,0.0020204852,-0.056388635,-0.019467408
2018-07-12,0.016648574,-0.010758647,0.0019008042,-0.061355006,-0.028430134
2018-07-13,0.019375091,-0.012047031,0.0020211071,-0.047715183,-0.03161664
2018-07-16,0.022407763,-0.0012095638,0.0028604316,-0.042223092,0.009318077
2018-07-17,0.020712804,-0.0026980552,0.0027419114,-0.028436301,0.0075918366
2018-07-18,0.018017868,0.0052742036,0.0031012099,-0.0264847,0.031381536
2018-07-19,0.020467842,0.00051400193,0.002500971,-0.03166793,0.0338735
2018-07-20,0.02761128,0.01482292,0.0026206854,-0.020805135,0.035292868
2018-07-23,0.03361782,0.021497939,0.0028615706,-0.012229683,0.034205317
2018-07-24,0.029081823,0.012044377,0.0023810896,-0.020547481,0.026060183
2018-07-25,0.025961898,0.014956195,0.002622349,-0.021483878,0.0281032
2018-07-26,0.024267394,0.0190287,0.0033426634,-0.018569883,0.026370028
2018-07-27,0.03110074,0.015041669,0.0034614198,-0.020232657,0.032157276
2018-07-30,0.03461456,0.012681416,0.003233665,-0.02380024,0.016820548
2018-07-31,0.027002174,0.0045674187,0.003233665,-0.02328829,0.024272887
2018-08-01,0.025659608,0.01641573,0.0034976695,-0.013993568,0.03039263
2018-08-02,0.018281518,0.006456447,0.0018134302,-0.0113282725,0.018722488
2018-08-03,0.015743071,0.005182023,0.0018138611,-0.015521833,0.01875311
2018-08-06,0.015374379,-0.00304463,0.0009717051,-0.00975618,0.03777066
2018-08-07,0.012319804,0.004523533,0.0013323608,-0.0036719588,0.041374214
2018-08-08,0.018636959,0.0050248806,0.0013325254,-0.0100582605,0.054507364
